# converted from https://das.sdss.org/www/html/imaging/dr-byRun-99.html
#
# images are linked from
#    https://das.sdss.org/www/cgi-bin/wholeseg?RUN={run}&RERUN={rerun}&CAMCOL={cam}&DR=99
#
# direct images are:
#    http://das.sdss.org/raw/{run}/{rerun}/corr/{cam}/fpC-{run:5i}-{band}{cam}-{field:4i}.fit.gz
#
stripe,strip,run,rerun,MJD,node,inclination,cam1,cam2,cam3,cam4,cam5,cam6
14,S,3909,40,52757,95,10,1,2,3,4,5,6
13,N,3910,40,52757,95,7.5,1,2,3,4,5,6
28,N,3911,40,52757,95,45,1,2,3,4,5,6
31,N,3918,41,52758,95,52.5,1,2,3,4,5,6
27,S,3919,40,52758,95,42.5,1,2,3,4,5,6
29,S,3926,40,52760,95,47.5,1,2,3,4,5,6
29,S,3926,41,52760,95,47.5,1,2,3,4,5,6
27,N,3927,40,52760,95,42.5,1,2,3,4,5,6
30,S,3958,40,52787,95,50,1,2,3,4,5,6
31,S,3964,41,52788,95,52.5,1,2,3,4,5,6
30,N,3965,40,52788,95,50,1,2,3,4,5,6
28,N,3967,40,52788,95,45,1,2,3,4,5,6
16,S,3970,40,52789,95,15,1,2,3,4,5,6
16,S,3971,40,52789,95,15,1,2,3,4,5,6
16,S,3972,40,52789,95,15,1,2,3,4,5,6
28,S,3983,40,52797,95,45,1,2,3,4,5,6
28,S,3992,40,52811,95,45,1,2,3,4,5,6
16,N,3996,40,52812,95,15,1,2,3,4,5,6
28,N,3997,40,52812,95,45,1,2,3,4,5,6
26,N,4002,40,52813,95,40,1,2,3,4,5,6
28,S,4003,40,52813,95,45,1,2,3,4,5,6
25,S,4007,40,52814,95,37.5,1,2,3,4,5,6
25,S,4010,40,52815,95,37.5,1,2,3,4,5,6
38,S,4011,40,52815,95,70,1,2,3,4,5,6
25,N,4014,40,52816,95,37.5,1,2,3,4,5,6
44,S,4015,40,52816,95,85,1,2,3,4,5,6
1062,N,4076,40,52873,98.6288,27.1917,1,2,3,4,5,6
82,N,4128,40,52908,95,0,1,2,3,4,5,6
1220,N,4134,40,52909,186.8823,78.5114,1,2,3,4,5,6
1220,N,4134,648,52909,186.8823,78.5114,1,2,3,4,5,6
1220,S,4135,40,52909,186.8823,78.5114,1,2,3,4,5,6
1220,S,4135,648,52909,186.8823,78.5114,1,2,3,4,5,6
82,S,4136,40,52909,95,0,1,2,3,4,5,6
1220,S,4144,40,52910,186.8823,78.5114,1,2,3,4,5,6
1220,S,4144,648,52910,186.8823,78.5114,1,2,3,4,5,6
82,S,4145,40,52910,95,0,1,2,3,4,5,6
1220,N,4152,40,52911,186.8823,78.5114,1,2,3,4,5,6
1220,N,4152,648,52911,186.8823,78.5114,1,2,3,4,5,6
82,N,4153,40,52911,95,0,1,2,3,4,5,6
82,N,4157,40,52912,95,0,1,2,3,4,5,6
82,N,4158,40,52912,95,0,1,2,3,4,5,6
82,N,4184,40,52929,95,0,1,2,3,4,5,6
82,S,4187,40,52930,95,0,1,2,3,4,5,6
82,N,4188,40,52930,95,0,1,2,3,4,5,6
82,S,4192,40,52931,95,0,1,2,3,4,5,6
82,N,4198,40,52934,95,0,1,2,3,4,5,6
82,S,4203,40,52935,95,0,1,2,3,4,5,6
38,S,4204,40,52935,95,70,1,2,3,4,5,6
82,N,4207,40,52936,95,0,1,2,3,4,5,6
38,N,4208,40,52936,95,70,1,2,3,4,5,6
39,S,4233,40,52946,95,72.5,1,2,3,4,5,6
82,S,4247,40,52959,95,0,1,2,3,4,5,6
82,N,4253,40,52962,95,0,1,2,3,4,5,6
82,S,4263,40,52963,95,0,1,2,3,4,5,6
39,N,4264,40,52963,95,72.5,1,2,3,4,5,6
82,S,4288,40,52971,95,0,1,2,3,4,5,6
39,S,4294,40,52973,95,72.5,1,2,3,4,5,6
205,N,4334,40,52994,32,35,1,2,3,4,5,6
26,S,4335,40,52994,95,40,1,2,3,4,5,6
16,N,4338,40,52994,95,15,1,2,3,4,5,6
16,N,4344,40,52998,95,15,1,2,3,4,5,6
16,N,4380,40,53032,95,15,1,2,3,4,5,6
16,N,4381,40,53032,95,15,1,2,3,4,5,6
26,N,4382,40,53032,95,40,1,2,3,4,5,6
26,N,4388,40,53034,95,40,1,2,3,4,5,6
25,S,4392,40,53035,95,37.5,1,2,3,4,5,6
100,O,4448,40,53047,263.0178,-90.0032,1,2,3,4,5,6
26,N,4469,40,53052,95,40,1,2,3,4,5,6
25,S,4470,40,53052,95,37.5,1,2,3,4,5,6
25,N,4504,40,53080,95,37.5,1,2,3,4,5,6
25,S,4508,40,53081,95,37.5,1,2,3,4,5,6
25,N,4512,40,53081,95,37.5,1,2,3,4,5,6
205,N,4516,40,53082,32,35,1,2,3,4,5,6
25,N,4517,40,53082,95,37.5,1,2,3,4,5,6
25,N,4518,40,53082,95,37.5,1,2,3,4,5,6
25,N,4520,40,53082,95,37.5,1,2,3,4,5,6
